RestaurantID,Name,Address,Time,Price,Latitude,Longitude
970,Trúc Vy - Xôi Mặn & Bánh Mì,"Số 2 Ngách 42/53 Xuân Đỉnh, P. Xuân Tảo, Bắc Từ Liêm, Hà Nội",,,,
971,Bún Đậu Mắm Tôm & Chân Gà Cô Loan,"101 Ngõ 50 Mễ Trì Thượng, Nam Từ Liêm, Hà Nội",,,21.0051753,105.7794526
972,Cơm Tấm Bà Tâm - Tố Hữu,"25 Galaxy 3 Tố Hữu, P. Vạn Phúc, Hà Đông, Hà Nội",,,,
973,Cơm Gà Giòn Booby - Trần Đại Nghĩa,"28 Ngõ 183 Trần Đại Nghĩa, P. Bách Khoa, Hai Bà Trưng, Hà Nội",,,,
974,Tiger Suger Trần Quốc Hoàn - Trà Sữa - Trần Quốc Hoàn,"1C2B Ngõ 261 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,,21.0413758,105.7817115
975,Tiệm Gà Rán Toki - Nguyễn Chính,"7 Ngõ 74 Nguyễn Chính, P. Tân Mai, Hoàng Mai, Hà Nội",,,,
976,Mỏ Khoét Quán - Cơm Gà Sốt Cay Hàn Quốc - Bùi Xương Trạch,"15 Ngách 7 Ngõ 207 Bùi Xương Trạch, P. Khương Đình, Thanh Xuân, Hà Nội",,,,
977,"Bếp Chị Bé - Chân Gà, Nem Chua Rán & Viên Chiên Ăn Vặt Ngon","193 Hàng Bông, Hoàn Kiếm, Hà Nội",,,21.0288036,105.8458912
978,"CITI FOOD - Mì Ý, Mì Trộn & Mì Indomie","36 Lương Văn Can, P. Hà Cầu, Hà Đông, Hà Nội",,,20.9671659,105.7768358
979,Trường An - Cơm Tấm Sườn Bì - 361 Nguyễn Khang,"361 Nguyễn Khang, P. Yên Hòa, Cầu Giấy, Hà Nội",,,21.0197045,105.8010217
980,"Gấu Ú - Ăn Vặt, Bánh Mì Cay & Nem Chua Rán - Yên Hoà","229 Yên Hoà, P. Yên Hòa, Cầu Giấy, Hà Nội",,,21.0232653,105.7954824
981,Lòng Trần Cháo - Phở Gà & Bún Đậu Mẹt - Mễ Trì Thượng,"99 Ngõ 50 Mễ Trì Thượng, P. Mễ Trì, Nam Từ Liêm, Hà Nội",,,21.0051753,105.7794526
982,Mì Tim Cật Chua Cay Phương Anh,"44 Ngõ 9 Võ Chí Công, P. Nghĩa Đô, Cầu Giấy, Hà Nội",,,,
983,"Hải Yến Foods - Đồ Ăn Nhanh, Viên Chiên & Gà KFC - Võ Quý Huân","Số 2 Ngõ 5 Võ Quý Huân, P. Phúc Diễn, Bắc Từ Liêm, Hà Nội",,,,
984,Bánh Tráng Nướng - Tiệm Ăn Vặt BUSAN - Đỗ Đức Dục,"Số 23 Ngách 110 Ngõ 32 Đỗ Đức Dục, Nam Từ Liêm, Hà Nội",,,,
985,Bún Chả Obama,"Số 6 Ngách 12 Ngõ 43 Cầu Cốc, P. Tây Mỗ, Nam Từ Liêm, Hà Nội",,,,
986,Cơm Rang Đệ Nhất,"67 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,,21.0423089,105.7868461
987,Cháo Sườn Sụn 88 - Triều Khúc,"23 Ngõ 42 Triều Khúc, P. Thanh Xuân, Thanh Xuân, Hà Nội",,,20.9857112,105.798085
988,Xôi Làng Quỳnh - Xôi & Cơm Văn Phòng Online,"Số 40B Ngõ 98 Phố Chùa Quỳnh, P. Bạch Mai, Hai Bà Trưng, Hà Nội",,,,
989,Đức Trọc - Cơm Rang & Bánh Tráng Cuốn Thịt Heo - Đỗ Đức Dục,"Số Nhà 21 Nghách 110 Ngõ 32 Đỗ Đức Dục, Nam Từ Liêm, Hà Nội",,,,
990,Huy Ốc Quán - Bún Chả & Ốc Nóng - Phú Lương,"Nhà 114, Đường Phú Lương, Hà Đông, Hà Nội",,,,
991,Quán Bún Đại Lộ - Đại Lộ Thăng Long,"CT3B Đầu Ngõ 10 Đại Lộ Thăng Long, Nam Từ Liêm, Hà Nội",,,,
992,Gugsumi - Cơm Gà Đúng Điệu - Trần Quốc Vượng,"91 Trần Quốc Vượng, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,,21.0335507,105.7827829
993,Bếp Còi - Chuyên Heo - 94 Lĩnh Nam,"94 Lĩnh Nam, P. Mai Động, Hoàng Mai, Hà Nội",,,20.9904587,105.8663251
994,Chủ Quán Nghiện Bún Đậu - Quán Nhậu - 376 Bưởi,"Số 48 Ngõ 376 Bưởi, Ba Đình, Hà Nội",,,,
995,"MeoFood - Mì Trộn Indomie, Mì Chua Cay Tim Cật & Chân Gà Sốt Thái - 27 Lai Xá","Số Nhà 6 Ngách 8 Ngõ 27 Lai Xá, Hoài Đức, Hà Nội",,,,
