RestaurantID,Name,Address,Time,Price,Latitude,Longitude
711,Sâu - Coffee & Tea - 255 Nguyễn Khang,"Nhà 12B2 Ngách 7 Ngõ 255 Nguyễn Khang, Cầu Giấy, Hà Nội",,,21.0231747,105.7976935
712,Cơm Chay An Vui - Đồ Chay Tuệ Lâm - Nguyễn Trãi,"Căng Tin CT1 Chung Cư Nàng Hương, 583 Nguyễn Trãi, Thanh Xuân, Hà Nội",,,20.9849707,105.7958706
713,Phương Linh Food - Shop Đồ Ăn Vặt Online,"Số 11A Xuân Phương, P. Minh Khai, Bắc Từ Liêm, Hà Nội",,,21.0579605,105.7463204
714,"Fruity Fresh - Nước Ép, Sinh Tố & Sữa Chua - Thành Công","101H3 Phố Thành Công, Ba Đình, Hà Nội",,,21.0203931,105.8157249
715,Mộc - Coffee & Tea - Đống Đa,"110 Ngõ Đại Đồng, Đống Đa, Hà Nội",,,21.0192141,105.8361578
716,Chóp Chép - Thế Giới Chè & Ăn Vặt,"1A Ngách 43 Ngõ 43 Chùa Bộc, P. Kim Liên, Đống Đa, Hà Nội",,,21.0055818,105.8322555
717,Matcha Ah! - Quán Đồ Uống - 240 Đường Láng,"240 Đường Láng, P. Thịnh Quang, Đống Đa, Hà Nội",,,21.0066112,105.816272
718,"Match Matcha - Tiệm Matcha, Trà Và Cà Phê - 565 Nguyễn Trãi","Nhà Số 7 Ngách 7 Hẻm 7 Ngõ 565 Nguyễn Trãi, Thanh Xuân, Hà Nội",,,20.9770551,105.8220956
719,Jaspas Restaurant,"Tầng 4, Tháp Hà Nội, 49 Hai Bà Trưng, P. Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",,,21.0257026,105.846185
720,An Cựu - Bún Bò Huế - Trung Văn,"Ki Ốt 95 Khu TTTM VL1 Trung Văn (Đối Diện Cổng Trường Tiểu Học Nguyễn Du), P. Mễ Trì, Nam Từ Liêm, Hà Nội",,,20.9939934,105.7793796
721,Cơm Tấm Phan Thắng - Nguyễn Thị Định,"6 Ngõ 37 Nguyễn Thị Định, P. Trung Hoà, Cầu Giấy, Hà Nội",,,21.0113148,105.8048358
722,Cơm Gà Song Anh - Cơ Sở 1,"Số 64 Ngõ 1 Ao Sen, P. Mộ Lao, Hà Đông, Hà Nội",,,20.9813805,105.7885287
723,LaBoong - Trà Ô Long Làng La Boong - 358 Xã Đàn,"358 Xã Đàn, P. Nam Đồng, Đống Đa, Hà Nội",,,21.0143458,105.8343954
724,Trà Sữa Tocotoco - Lò Đúc,"149A Lò Đúc, P. Đống Mác, Hai Bà Trưng, Hà Nội",,,21.0108469,105.8599437
725,"Cô Ti's Kitchen - Cơm, Salad & Ăn Vặt Online","51 Ngõ 262B Nguyễn Trãi, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,20.997884,105.810345
726,Gugsumi - Bún Trộn Chính Hiệu - Đường 800A,"3A Ngõ 4 Đường 800A, P. Nghĩa Đô, Cầu Giấy, Hà Nội",,,21.039704,105.8017564
727,Tự Nhiên Thấy Đói - Mỳ Cay & Gà Ủ Muối - Nguyễn Khánh Toàn,"Số nhà 7, Ngách 8, Ngõ 92, Nguyễn Khánh Toàn, P. Quan Hoa, Cầu Giấy, Hà Nội",,,21.0373923,105.8023685
728,Mỳ Chua Cay Tomyum & Nộm Chân Gà Sốt Thái - Nguyễn Khánh Toàn,"47 Ngách 12 Ngõ 58 Nguyễn Khánh Toàn, P. Quan Hoa, Cầu Giấy, Hà Nội",,,21.0369721,105.8032438
729,Giang Cún - Bún Thái Hải Sản - Định Công Thượng,"Số 28 Ngách 15 Ngõ 112 Định Công Thượng, P. Định Công, Hoàng Mai, Hà Nội",,,20.9831139,105.8223091
730,"Bami Bee - Gà Ủ Muối, Mì Gà Tần & Mì Trộn Indomie - Đầm Bầu","49 Đầm Bầu (Dốc Viện Phụ Sản HN), P. Ngọc Khánh, Ba Đình, Hà Nội",,,21.0268345,105.808937
731,"Bánh Đúc Nóng Online - Đồ Ăn Vặt, Chân Gà Sả Tắc & Đồ Uống - Phúc Đồng","14A8 Khu 918, P. Phúc Đồng, Long Biên, Hà Nội",,,21.0353381,105.8997302
732,Anh Béo - Bún Miến Ngan - Trần Quốc Vượng,"1 Ngách 26 Ngõ 63 Trần Quốc Vượng, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,,21.0348033,105.7853996
733,"NADO - Lẩu Thái, Mỳ Cay & Đồ Ăn Vặt","Số 68 Ngõ 195 Cầu Diễn, P. Phúc Diễn, Bắc Từ Liêm, Hà Nội",,,21.0460368,105.7483679
734,"Tiệm Mì Sinh Viên - Mì Trộn Indomie, Bánh Tráng & Viên Chiên","91/35 Số 2 Nguyễn Chí Thanh, P. Láng Hạ, Đống Đa, Hà Nội",,,21.0258135,105.8116295
735,Bếp Ba Bột - Chân Gà Sốt Thái & Chân Gà Hấp Thảo Quả - Nghĩa Tân,"Cầu Thang 1 Nhà C8, P. Nghĩa Tân, Cầu Giấy, Hà Nội",,,21.042847,105.7956569
736,Bánh Mỳ Thanh Cảnh Cơ Sở 4 - Bánh Mỳ Chảo - Xuân Phương,"Số Nhà 2 Ngõ 80 Xuân Phương, P. Phương Canh, Nam Từ Liêm, Hà Nội",,,21.049999,105.7332489
737,Tiệm Bánh Rapha - Shop Online - Giáp Bát,"76 Ngõ 119 Giáp Bát, Hoàng Mai, Hà Nội",,,20.9860377,105.8441949
738,"Chef Hoàng - Trứng Gà Nướng, Xôi & Nước Ép - Trần Phú","96 Trần Phú, P. Mộ Lao, Hà Đông, Hà Nội",,,20.979678,105.7868387
739,Ăn Vặt Xuyên Việt - Mì Trộn Indomie - Ngọc Thuỵ,"TT2-24 Khu Tái Định Cư Ngọc Thụy, P. Ngọc Thụy, Long Biên, Hà Nội",,,21.0570172,105.8733547
740,Cơm Văn Phòng Hùng Nguyễn - 15 Ngõ 8 Khu Tập Thể Chi Cục Thủy Sản,"15 Ngõ 8 Khu Tập Thể Chi Cục Thủy Sản, X. Thanh Liệt, Thanh Trì, Hà Nội",,,20.9629615,105.8025147
741,Gà Rán Việt,"3 Hồng Mai, P. Bạch Mai, Hai Bà Trưng, Hà Nội",,,20.9989761,105.8512094
742,Phở Cuốn Anh Tú,"178 Ngọc Lâm, P. Ngọc Lâm, Long Biên, Hà Nội",,,21.0468238,105.8717343
743,Tiệm Gà Ủ Muối - Gà Luộc & Gà Ủ Muối - Lê Quý Đôn 2,"47 Lê Quý Đôn 2, P. Hà Cầu, Hà Đông, Hà Nội",,,20.96752,105.7820143
744,Nhật Hạ - Vua Gà Ủ Muối - Xuân Phương,"Đối Diện 46 Xuân Phương, P. Minh Khai, Bắc Từ Liêm, Hà Nội",,,21.0526151,105.7332958
745,Bánh Mì & Pate Cột Đèn Hải Phòng Tâm Cook - Ngô Thì Nhậm,"18A Ngô Thì Nhậm, P. Hà Cầu, Hà Đông, Hà Nội",,,20.9687568,105.7692944
746,"Gà Luộc, Gà Ủ Muối & Cơm Cháy - Duyên Dương","Số 32 Ngách 59 Ngõ 68 Triều Khúc, P. Thanh Xuân Nam, Thanh Xuân, Hà Nội",,,20.9829925,105.7994617
747,"Minh Kem Food - Pizza, Mỳ Ý & Ăn Vặt - Lĩnh Nam","12A1 Ngách 121/1 Ngõ 255 Lĩnh Nam, P. Vĩnh Hưng, Hoàng Mai, Hà Nội",,,20.98803,105.8748573
748,3DELI LEMON TEA - Nguyễn Văn Lộc,"9 Nguyễn Văn Lộc, P. Mộ Lao, Hà Đông, Hà Nội",,,20.9818389,105.7884572
749,Min Bakery - Bông Lan Trứng Muối Online,"132 Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,,20.9980611,105.8050312
750,Bếp Về Đêm - Đồ Ăn Nhanh - 83 Sông Nhuệ,"83 Sông Nhuệ, P. Đức Thắng, Bắc Từ Liêm, Hà Nội",,,21.0798488,105.7747307
751,Xôi Bà Ngà - Đồ ăn - Thuỵ Khuê,"Số nhà 25 ngõ 514 Thuỵ Khuê, Tây Hồ, Hà Nội",,,21.0491264,105.8094866
752,Alopizza - Mỳ Ý & Pizza Tươi 100% - Phú Lương,"20A Ngách 2/7 Ngõ Trần Hưng Đạo, P. Phú Lương, Phú Lãm, Hà Đông, Hà Nội",,,20.9429913,105.7576662
753,Trà Sữa Tiger Sugar By HongKong - Vương Thừa Vũ,"P208 - 55 Ngõ 164 Vương Thừa Vũ, P. Khương Trung, Thanh Xuân, Hà Nội",,,20.9957152,105.8200939
754,Bếp Của Vụn - Bánh Bông Lan Trứng Muối Online,"7 Ngõ 332 Lĩnh Nam (Vào Ngõ Rẽ Trái), P. Lĩnh Nam, Hoàng Mai, Hà Nội",,,20.9801609,105.8791133
755,Bún Đậu Mẹt 268 Tô Hiệu,"8 Tô Hiệu, P. Nghia Tân, Cầu Giấy, Hà Nội",,,21.0458428,105.7964978
756,Sườn Phố - Sườn Nướng BBQ,"Số 1 Ngõ 44 Phố Nguyên Khiết, P. Phúc Tân, Hoàn Kiếm, Hà Nội",,,21.0343784,105.8568003
757,Ốc Phê - 117 Nguyễn Hữu Thọ,"Số 117 Nguyễn Hữu Thọ, P. Hoàng Liệt, Hoàng Mai, Hà Nội",,,20.9699477,105.8319242
758,"Bình Food - Mì Indomie, Bánh Mì & Đồ Ăn Vặt","Số 10B ngõ 22 Trung Kính, P. Trung Hoà, Cầu Giấy, Hà Nội",,,21.0140645,105.799803
759,Trà Trái Cây Tươi - Tiệm Trà Hà Mã - Lê Thanh Nghị,"Số 1 Ngách 72 Ngõ 121 Lê Thanh Nghị, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",,,21.0021416,105.8416735
760,"Mai Chicken - Mỳ Trộn Indomie, Gà Rán & Bánh Gà - 312 Phố Chùa Quỳnh","312 Phố Chùa Quỳnh, Hai Bà Trưng, Hà Nội",,,21.0001395,105.8538489
761,Sói Food - Trộn Tê Cay & Mì Trộn Indomie - 178 Hoàng Mai,"8A Ngõ 178 Hoàng Mai, Hoàng Mai, Hà Nội",,,20.9899869,105.8530427
762,Fong Tea - Trà Sữa Hong Kong,"47 Tổ 9 Mậu Lương, P. Kiến Hưng , Hà Đông, Hà Nội",,,20.9578854,105.7906327
763,"Bếp Của Tớ - Mỳ Trộn, Bún Trộn & Cháo - 46 Phạm Ngọc Thạch","Số 57 Ngõ 46 Phạm Ngọc Thạch, Đống Đa, Hà Nội",,,21.0114417,105.8349734
764,CleanFastFood - Thế Giới Đồ Ăn Vặt - Vinhomes Smart City,"Toà S201, Vinhomes Smart City Đại Lộ Thăng Long, P. Tây Mỗ, Nam Từ Liêm, Hà Nội",,,21.0071028,105.7369957
765,Tteokbokki Qlinh - Tokbokki & Đồ Ăn Hàn Quốc - Cầu Diễn,"Số 45 Ngõ 99 Đường Cầu Diễn, P. Phúc Diễn, Bắc Từ Liêm, Hà Nội",,,21.0447062,105.7493684
766,Nem Nướng Nha Trang - Khúc Thừa Dụ,"Số nhà 14 ngõ 38 Khúc Thừa Dụ, P. Dịch Vọng, Cầu Giấy, Hà Nội",,,21.0341207,105.7914413
767,Tiệm Cú Đêm - Triều Khúc - Shop Online,"2 Ngõ 111 (Cuối Ngõ 111) Triều Khúc, Thanh Trì, Hà Nội",,,20.9832293,105.8009954
768,"688 Food - Cơm Thịt Xào Cay, Mỳ Cay & Chân Giò Hàn Quốc - Mỹ Đình","43 Ng. 20 Đ. Mỹ Đình, P. Mỹ Đình, Nam Từ Liêm, Hà Nội",,,21.0316306,105.7728163
769,Bánh Đa Sườn Hải Phòng & Cơm Suất Ngon - Văn Chương,"12/92 Văn Chương, Đống Đa, Hà Nội",,,21.022491,105.8371026
770,Bún Đậu Làng Mơ 33 - Chính Kinh,"51 Ngõ 12 Chính Kinh, Thanh Xuân, Hà Nội",,,20.9992183,105.813
771,Nấm Food - Bánh Mì Muối Ớt & Bơ Tỏi - Nguyễn Lân,"5/14 Nguyễn Lân, P. Phương Liệt, Thanh Xuân, Hà Nội",,,20.9944987,105.8362762
772,Katriane - Kafé & Food - Đường 32,"8 Tổ 1 Cạnh Đường Tàu Phú Diễn, Đường 32, P. Phú Diễn, Bắc Từ Liêm, Hà Nội",,,21.042619,105.7613354
